ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
52,"(1315.2237548828125, 64.84444427490234)","(2255.9124755859375, 169.0550308227539)","(89.40290069580078, 589.6086730957031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
53,"(1314.8564453125, 64.34022521972656)","(2255.87353515625, 168.97748565673828)","(88.79332160949707, 590.3765869140625)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
54,"(1314.17919921875, 64.55702781677246)","(2255.6396484375, 169.52086639404297)","(88.6632080078125, 590.9957885742188)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
55,"(1314.1378173828125, 63.38385581970215)","(2255.1400146484375, 169.62985229492188)","(88.7957992553711, 591.2737731933594)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
56,"(1313.860107421875, 63.58215141296387)","(2255.0406494140625, 169.6414451599121)","(88.75023078918457, 590.6053771972656)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
57,"(1313.6896362304688, 63.37629508972168)","(2255.0133056640625, 169.95327377319336)","(89.7165699005127, 589.9943542480469)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
58,"(1313.2581176757812, 62.504934310913086)","(2254.300048828125, 170.26664352416992)","(89.18340682983398, 590.3281555175781)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
59,"(1313.12158203125, 61.81347846984863)","(2254.365478515625, 170.32322692871094)","(89.13239479064941, 590.0901184082031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
60,"(1313.0257568359375, 61.65388298034668)","(2254.3829345703125, 170.41153717041016)","(89.36564064025879, 590.5627746582031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
61,"(1313.0028076171875, 61.9418830871582)","(2254.6094970703125, 170.353515625)","(88.94799613952637, 591.4712829589844)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
