ID,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
36,"(1551.4005737304688, 597.5639038085938)","(1249.6959838867188, 356.02886962890625)","(548.9288940429688, 399.48731994628906)","(1559.5762329101562, 210.33177185058594)","(849.3023376464844, 696.1217041015625)","(675.423828125, 368.9268341064453)","(654.1890869140625, 435.31715393066406)","(898.3228759765625, 630.5900268554688)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
37,"(1551.2840576171875, 597.4606628417969)","(1248.8790893554688, 355.88458251953125)","(548.387939453125, 399.45912170410156)","(1559.2595825195312, 210.7755584716797)","(154.7684097290039, 473.0984802246094)","(845.4005737304688, 698.2417602539062)","(852.8748779296875, 509.19017028808594)","(674.5582580566406, 368.87428283691406)","(653.7105407714844, 435.4387512207031)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
38,"(1551.7278442382812, 597.7725524902344)","(1248.3003540039062, 356.3451690673828)","(549.0263671875, 400.22776794433594)","(1559.4815673828125, 210.43099975585938)","(154.76543426513672, 473.1752014160156)","(846.3522644042969, 697.4528503417969)","(852.7272033691406, 509.2672576904297)","(674.4744873046875, 369.12086486816406)","(653.6160278320312, 435.5700378417969)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
39,"(1551.80810546875, 597.3925476074219)","(1247.3320922851562, 356.54266357421875)","(548.6305541992188, 399.7854309082031)","(1559.9689331054688, 209.78997039794922)","(154.63910675048828, 473.0641326904297)","(847.3824768066406, 696.6184692382812)","(855.246337890625, 510.10325622558594)","(674.6636657714844, 369.5661926269531)","(653.6444091796875, 435.3440856933594)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
40,"(1551.310546875, 597.9530334472656)","(1245.7771606445312, 357.3375549316406)","(547.84228515625, 399.7049865722656)","(1559.4959716796875, 211.3498077392578)","(859.7795104980469, 683.6411743164062)","(676.4586181640625, 369.7670135498047)","(653.8399353027344, 436.0422821044922)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
41,"(1551.0592651367188, 597.6698608398438)","(1245.48046875, 357.4039764404297)","(1559.4901733398438, 211.77640533447266)","(858.8403015136719, 685.2831115722656)","(675.7695617675781, 370.14166259765625)","(653.8757934570312, 436.3667449951172)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
42,"(1551.1263427734375, 597.4563293457031)","(1246.6382446289062, 357.08233642578125)","(1559.337158203125, 211.6238784790039)","(842.3501586914062, 701.3678283691406)","(675.2755126953125, 369.21275329589844)","(654.9606018066406, 436.2015686035156)","(892.1328125, 629.2075500488281)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
43,"(1551.1845092773438, 597.5237121582031)","(1245.1040649414062, 356.9927062988281)","(1560.05419921875, 211.12022399902344)","(841.486572265625, 702.1127014160156)","(675.5282287597656, 369.5995330810547)","(655.3978881835938, 435.7319030761719)","(891.740966796875, 629.499267578125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
44,"(1551.0685424804688, 597.2166137695312)","(1246.0518798828125, 356.9405975341797)","(1560.2811279296875, 211.17652130126953)","(843.8590087890625, 700.158203125)","(675.5487365722656, 369.65367126464844)","(655.4060363769531, 434.6131591796875)","(891.77490234375, 629.27392578125)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
45,"(1550.6336059570312, 597.1699523925781)","(1247.3749389648438, 356.4999084472656)","(549.7888793945312, 399.6974334716797)","(1559.275390625, 212.77477264404297)","(848.2720031738281, 696.2667846679688)","(676.304443359375, 368.99468994140625)","(654.4417724609375, 435.1556396484375)","(891.2675476074219, 628.6742858886719)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)"
